county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Morgan County,"5,166",26%,33.767,"$18,445 ",.,.,.,"5,166",26%,33.767
New Madrid County,"6,186",37%,25.077,"$20,896 ","1,453",19%,"1,573.88","4,733",52%,13.644
Newton County,"25,559",44%,93.734,"$22,350 ","10,735",51%,"1,177.65","14,824",40%,61.551
Nodaway County,"6,292",29%,24.422,"$18,329 ","1,098",8%,"2,454.93","5,194",64%,9.327
Oregon County,"10,359",100%,13.153,"$16,877 ","1,961",100%,"1,303.48","8,398",100%,10.69
Osage County,"13,713",100%,22.763,"$23,362 ",.,.,.,"13,713",100%,22.763
Ozark County,"8,929",100%,11.986,"$17,324 ",.,.,.,"8,929",100%,11.986
Pemiscot County,"14,979",91%,33.569,"$17,387 ","8,358",98%,"1,872.48","6,621",83%,16.345
Perry County,"9,090",47%,40.584,"$23,539 ",11,0%,"1,332.06","9,079",86%,22.6
Pettis County,"13,899",34%,59.985,"$20,571 ","1,214",5%,"1,357.02","12,685",83%,23.138
Phelps County,"15,134",33%,67.587,"$20,900 ",.,.,"1,930.02","15,134",74%,31.196
Pike County,"15,570",91%,25.653,"$18,738 ","8,030",100%,"1,988.59","7,540",82%,13.723
Platte County,"7,672",8%,228.706,"$35,333 ",45,0%,"1,430.82","7,627",54%,38.797
Polk County,"6,471",20%,50.502,"$19,357 ",15,0%,"1,916.52","6,456",30%,34.612
Pulaski County,"45,673",86%,97.173,"$20,019 ","30,496",100%,"1,176.01","15,177",67%,43.493
Putnam County,"1,100",28%,7.649,"$20,069 ",.,.,.,"1,100",28%,7.649
Ralls County,"7,733",79%,20.871,"$23,588 ",.,.,527.223,"7,733",82%,20.034
Randolph County,"8,502",34%,51.073,"$18,263 ",.,.,"1,585.62","8,502",77%,23.363
Ray County,"10,718",47%,39.713,"$23,957 ",189,3%,"1,298.94","10,529",62%,30.023
Reynolds County,"3,982",66%,7.447,"$18,791 ",.,.,.,"3,982",66%,7.447
Ripley County,"10,900",79%,21.807,"$16,843 ",.,.,.,"10,900",79%,21.807
St. Charles County,"14,921",4%,710.641,"$32,473 ",524,0%,"2,622.19","14,397",63%,54.794
St. Clair County,"8,551",100%,12.763,"$18,098 ",.,.,.,"8,551",100%,12.763
Ste. Genevieve County,"12,495",70%,35.817,"$23,780 ",.,.,"1,739.11","12,495",92%,27.391
St. Francois County,"9,996",14%,153.552,"$19,044 ",.,.,"1,846.77","9,996",37%,63.701
St. Louis County,"3,788",0%,"1,985.53","$35,388 ",194,0%,"2,621.12","3,594",33%,85.096
Saline County,"8,071",38%,28.269,"$19,774 ",2,0%,"2,004.88","8,069",91%,11.898
Schuyler County,"3,848",100%,12.522,"$18,631 ",.,.,.,"3,848",100%,12.522
Scotland County,"2,360",57%,9.513,"$20,556 ",.,.,.,"2,360",57%,9.513
Scott County,"3,974",10%,90.609,"$20,637 ",.,.,"1,841.23","3,974",25%,38.67
Shannon County,"8,045",100%,8.051,"$18,931 ",.,.,.,"8,045",100%,8.051
Shelby County,"2,940",60%,9.839,"$20,256 ",.,.,.,"2,940",60%,9.839
Stoddard County,"17,761",63%,34.371,"$23,923 ","3,541",41%,"1,480.73","14,220",72%,24.053
Stone County,"12,790",40%,68.762,"$21,555 ",186,5%,654.294,"12,604",45%,61.679
Sullivan County,"1,520",29%,8.133,"$19,856 ",.,.,.,"1,520",29%,8.133
Taney County,"14,009",24%,92.297,"$19,844 ","2,638",8%,974.586,"11,371",44%,43.031
Texas County,"23,036",91%,21.61,"$18,178 ",207,100%,"1,653.92","22,829",90%,21.437
Vernon County,"3,332",17%,23.721,"$20,406 ",.,.,"1,495.66","3,332",30%,13.734
Warren County,"13,032",36%,85.578,"$25,138 ",182,1%,"1,656.55","12,850",56%,54.209
Washington County,"22,024",87%,33.441,"$17,565 ","4,199",87%,"1,742.85","17,825",86%,27.223
Wayne County,"10,511",81%,17.046,"$18,707 ",.,.,.,"10,511",81%,17.046
Webster County,"18,670",48%,65.441,"$20,183 ",593,6%,"1,905.65","18,077",64%,48.191
Worth County,581,37%,5.964,"$23,730 ",.,.,.,581,37%,5.964
Wright County,"15,828",84%,27.511,"$16,026 ","4,421",98%,"1,729.36","11,407",80%,20.98
St. Louis city,132,0%,"5,151.75","$23,244 ",132,0%,"5,166.20",.,.,11.526
Montana,"317,581",31%,7.044,.,"54,888",9%,"2,004.43","262,693",61%,2.957
Beaverhead County,"2,615",30%,1.586,"$25,294 ",.,.,"1,937.94","2,615",59%,0.796
Big Horn County,"7,467",65%,2.288,"$16,279 ","3,007",100%,"2,295.25","4,460",53%,1.686
Blaine County,"2,286",40%,1.361,"$17,529 ",.,.,.,"2,286",40%,1.361
Broadwater County,"3,990",67%,4.961,"$27,243 ",.,.,.,"3,990",67%,4.961
Carbon County,"6,689",75%,4.375,"$27,808 ",.,.,.,"6,689",75%,4.375
Carter County,755,100%,0.226,"$28,271 ",.,.,.,755,100%,0.226
Cascade County,"12,566",15%,30.883,"$25,216 ",649,1%,"2,173.43","11,917",76%,5.887
Chouteau County,"1,552",31%,1.263,"$23,085 ",.,.,.,"1,552",31%,1.263
Custer County,"11,196",96%,3.074,"$24,876 ","9,105",95%,"1,359.05","2,091",100%,0.554
Daniels County,.,.,0.814,"$32,686 ",.,.,.,.,.,0.814
Dawson County,"8,615",100%,3.632,"$27,244 ","6,446",100%,"1,452.29","2,169",100%,0.916
Deer Lodge County,"2,341",27%,11.936,"$23,951 ",.,.,"2,380.19","2,341",76%,4.182
Fallon County,"2,337",100%,1.442,"$32,353 ",.,.,.,"2,337",100%,1.442
Fergus County,"10,415",95%,2.535,"$25,867 ","5,926",100%,"2,694.39","4,489",88%,1.17
Flathead County,"21,905",21%,20.119,"$25,789 ",.,.,"1,872.71","21,905",42%,10.424
Gallatin County,"17,136",17%,39.833,"$29,468 ",362,1%,"2,162.62","16,774",52%,12.6
Garfield County,900,100%,0.192,"$27,218 ",.,.,.,900,100%,0.192
Glacier County,"9,586",77%,4.135,"$16,710 ","4,804",68%,"2,453.73","4,782",91%,1.761
Golden Valley County,607,100%,0.517,"$23,356 ",.,.,.,607,100%,0.517
Granite County,"2,657",100%,1.538,"$26,868 ",.,.,.,"2,657",100%,1.538
Hill County,"1,647",11%,5.316,"$21,119 ",.,.,"2,231.42","1,647",28%,2.061
Jefferson County,"5,776",49%,7.134,"$30,721 ",.,.,.,"5,776",49%,7.134
Judith Basin County,947,69%,0.729,"$26,274 ",.,.,.,947,69%,0.729
Lake County,"12,358",45%,18.418,"$21,927 ",5,0%,"1,613.96","12,353",54%,15.377
Lewis and Clark County,"1,983",3%,19.854,"$28,651 ",.,.,"1,735.14","1,983",10%,5.752
Liberty County,"1,775",99%,1.25,"$24,908 ",.,.,.,"1,775",99%,1.25
Lincoln County,"13,134",68%,5.361,"$22,464 ","3,761",100%,"1,301.34","9,373",60%,4.324
McCone County,"1,253",100%,0.474,"$29,428 ",.,.,.,"1,253",100%,0.474
Madison County,"6,806",94%,2.009,"$33,124 ",.,.,.,"6,806",94%,2.009
Meagher County,519,35%,0.621,"$19,561 ",.,.,.,519,35%,0.621
Mineral County,"3,971",100%,3.256,"$20,363 ",.,.,.,"3,971",100%,3.256
Missoula County,"12,974",11%,46.201,"$26,559 ",526,1%,"2,001.91","12,448",48%,10.214
Musselshell County,"4,362",100%,2.335,"$23,309 ",.,.,.,"4,362",100%,2.335
Park County,"6,183",40%,5.494,"$25,818 ",.,.,"1,978.06","6,183",84%,2.634
Petroleum County,310,100%,0.187,"$22,567 ",.,.,.,310,100%,0.187
Phillips County,"1,677",53%,0.62,"$22,450 ",.,.,.,"1,677",53%,0.62
Pondera County,"4,991",98%,3.152,"$22,868 ","2,234",100%,"1,788.05","2,757",96%,1.777
Powder River County,"1,277",100%,0.387,"$28,849 ",.,.,.,"1,277",100%,0.387
Powell County,"3,209",49%,2.791,"$20,650 ",1,0%,"2,077.95","3,208",93%,1.478
Prairie County,823,100%,0.474,"$22,028 ",.,.,.,823,100%,0.474
Ravalli County,"26,202",62%,17.784,"$22,516 ",73,1%,"1,522.64","26,129",72%,15.131
Richland County,"9,883",99%,4.781,"$31,840 ","5,791",100%,"1,460.95","4,092",98%,2.006
Roosevelt County,"8,571",94%,3.864,"$16,720 ","5,783",100%,"2,246.37","2,788",84%,1.409
Rosebud County,"8,752",100%,1.747,"$23,118 ",.,.,.,"8,752",100%,1.747
Sanders County,"10,729",100%,3.887,"$19,145 ",.,.,.,"10,729",100%,3.887
Sheridan County,"1,681",70%,1.442,"$31,642 ",.,.,.,"1,681",70%,1.442
Silver Bow County,"3,739",11%,48.802,"$23,698 ",519,2%,"1,893.06","3,220",84%,5.467
Stillwater County,"5,528",62%,4.928,"$29,298 ",.,.,.,"5,528",62%,4.928
Sweet Grass County,"1,370",41%,1.814,"$24,437 ",.,.,.,"1,370",41%,1.814
Teton County,"4,568",89%,2.257,"$23,871 ",.,.,.,"4,568",89%,2.257
Toole County,"4,525",99%,2.381,"$22,837 ","2,953",100%,"2,037.04","1,572",98%,0.84
Treasure County,460,100%,0.471,"$22,419 ",.,.,.,460,100%,0.471
Valley County,"5,981",95%,1.275,"$26,331 ","2,837",100%,694.301,"3,144",91%,0.7
Wheatland County,"1,107",59%,1.32,"$18,935 ",.,.,.,"1,107",59%,1.32
Wibaux County,744,100%,0.837,"$25,112 ",.,.,.,744,100%,0.837
Yellowstone County,"12,151",7%,61.824,"$28,918 ",106,0%,"2,288.49","12,045",45%,10.341
Nebraska,"304,018",16%,24.433,.,"94,847",6%,"2,802.83","209,171",51%,5.353
Adams County,"1,179",4%,56.568,"$27,001 ",.,.,"2,966.70","1,179",19%,11.019
Antelope County,"4,024",83%,5.687,"$26,312 ",.,.,.,"4,024",83%,5.687
Arthur County,373,100%,0.521,"$18,709 ",.,.,.,373,100%,0.521
Banner County,481,100%,0.645,"$33,226 ",.,.,.,481,100%,0.645
Blaine County,307,100%,0.432,"$23,684 ",.,.,.,307,100%,0.432
Boone County,"2,261",55%,5.944,"$25,985 ",.,.,.,"2,261",55%,5.944
Box Butte County,461,5%,9.464,"$24,865 ",1,0%,"1,724.00",460,21%,2.012
Boyd County,427,30%,2.606,"$22,783 ",.,.,.,427,30%,2.606
Brown County,"2,144",85%,2.067,"$24,287 ",.,.,.,"2,144",85%,2.067
Buffalo County,"4,337",9%,49.681,"$25,154 ",5,0%,"2,581.08","4,332",31%,14.449
Burt County,"4,292",84%,10.334,"$24,841 ",.,.,.,"4,292",84%,10.334
Butler County,"1,556",24%,10.952,"$28,525 ",.,.,"2,049.08","1,556",42%,6.407
Cass County,"2,684",11%,43.613,"$30,413 ",4,0%,"2,231.64","2,680",15%,31.605
Cedar County,"4,371",66%,8.934,"$26,702 ",.,.,.,"4,371",66%,8.934
Chase County,"2,256",68%,3.707,"$30,881 ",.,.,.,"2,256",68%,3.707
Cherry County,"4,689",100%,0.789,"$24,942 ","2,503",100%,"1,364.10","2,186",100%,0.367
Cheyenne County,"1,985",22%,7.409,"$29,728 ",.,.,"1,925.81","1,985",74%,2.251
Clay County,"1,172",25%,8.345,"$25,664 ",.,.,.,"1,172",25%,8.345
Colfax County,"7,313",75%,23.685,"$23,688 ","4,300",64%,"2,640.84","3,013",99%,7.453
Cuming County,"2,976",41%,12.644,"$25,363 ",54,2%,"1,816.89","2,922",66%,7.837
Custer County,"7,341",87%,3.279,"$26,105 ","2,167",69%,"1,656.92","5,174",98%,2.056
Dakota County,"2,817",13%,83.484,"$20,735 ","1,187",7%,"1,695.95","1,630",42%,15.327
Dawes County,"7,120",88%,5.772,"$22,654 ","4,646",90%,"2,703.53","2,474",85%,2.081
Dawson County,"3,212",14%,22.825,"$21,046 ",.,.,"2,383.47","3,212",61%,5.272
Deuel County,"1,096",81%,3.074,"$28,163 ",.,.,.,"1,096",81%,3.074
Dixon County,"1,825",34%,11.224,"$24,173 ",.,.,.,"1,825",34%,11.224
Dodge County,"26,681",72%,70.101,"$24,754 ","19,995",68%,"2,706.58","6,686",88%,14.6
Douglas County,"8,197",1%,"1,764.82","$29,123 ","5,177",1%,"3,363.69","3,020",25%,75.965
Dundy County,417,30%,1.501,"$29,111 ",.,.,.,417,30%,1.501
Fillmore County,994,21%,8.11,"$26,873 ",.,.,.,994,21%,8.11
Franklin County,"1,582",69%,4.001,"$26,349 ",.,.,.,"1,582",69%,4.001
Frontier County,"1,841",97%,1.952,"$25,361 ",.,.,.,"1,841",97%,1.952
Furnas County,"2,562",72%,4.959,"$22,554 ",.,.,.,"2,562",72%,4.959
Gage County,"2,444",12%,24.357,"$25,166 ",.,.,"1,885.45","2,444",30%,9.563
Garden County,"1,324",100%,0.777,"$28,149 ",.,.,.,"1,324",100%,0.777
Garfield County,"1,762",99%,3.11,"$21,939 ",.,.,.,"1,762",99%,3.11
Gosper County,"1,286",83%,3.39,"$24,856 ",.,.,.,"1,286",83%,3.39
Grant County,468,100%,0.603,"$21,471 ",.,.,.,468,100%,0.603
Greeley County,"1,678",90%,3.287,"$23,902 ",.,.,.,"1,678",90%,3.287
Hall County,"3,818",6%,113.651,"$24,075 ",6,0%,"1,967.99","3,812",50%,14.739
Hamilton County,"7,004",91%,14.108,"$28,982 ","4,192",100%,"1,987.03","2,812",81%,6.411
Harlan County,"2,535",99%,4.604,"$24,417 ",.,.,.,"2,535",99%,4.604
Hayes County,670,100%,0.94,"$24,590 ",.,.,.,670,100%,0.94
Hitchcock County,"2,327",100%,3.292,"$22,958 ",.,.,.,"2,327",100%,3.292
Holt County,"7,867",90%,3.607,"$24,624 ","3,580",100%,"1,716.21","4,287",84%,2.125
Hooker County,639,100%,0.886,"$22,940 ",.,.,.,639,100%,0.886
Howard County,"2,685",51%,9.265,"$27,363 ",.,.,.,"2,685",51%,9.265
Jefferson County,"1,567",25%,10.867,"$25,291 ",5,0%,"1,791.49","1,562",60%,4.567
Johnson County,"1,899",42%,11.961,"$20,624 ",.,.,.,"1,899",42%,11.961
Kearney County,"1,158",22%,10.203,"$26,991 ",2,0%,"1,708.63","1,156",42%,5.4
Keith County,"2,121",29%,6.889,"$26,605 ",.,.,"2,026.48","2,121",71%,2.829
Keya Paha County,505,94%,0.693,"$28,104 ",.,.,.,505,94%,0.693
Kimball County,765,28%,2.879,"$25,133 ",.,.,.,765,28%,2.879
Knox County,"6,836",100%,6.179,"$26,287 ",.,.,.,"6,836",100%,6.179
Lancaster County,"3,713",1%,381.075,"$27,512 ",205,0%,"3,278.14","3,508",14%,33.645
Lincoln County,"6,270",17%,14.015,"$26,896 ",.,.,"2,145.62","6,270",61%,4.057
Logan County,584,100%,1.023,"$24,599 ",.,.,.,584,100%,1.023
Loup County,415,97%,0.75,"$25,806 ",.,.,.,415,97%,0.75
McPherson County,460,100%,0.536,"$25,760 ",.,.,.,460,100%,0.536
Madison County,"4,228",12%,60.154,"$25,279 ",722,3%,"2,226.11","3,506",42%,14.875
Merrick County,"2,655",42%,13.123,"$25,403 ",331,12%,"1,299.90","2,324",65%,7.387
Morrill County,"1,378",38%,2.57,"$23,268 ",.,.,.,"1,378",38%,2.57
Nance County,"1,446",49%,6.644,"$25,499 ",.,.,.,"1,446",49%,6.644
Nemaha County,"1,248",20%,15.128,"$26,837 ",109,4%,"1,540.18","1,139",37%,7.568
Nuckolls County,701,22%,5.621,"$23,935 ",.,.,.,701,22%,5.621
Otoe County,"1,733",12%,22.66,"$25,700 ",311,5%,"1,919.06","1,422",19%,12.107
Pawnee County,678,36%,4.41,"$25,138 ",.,.,.,678,36%,4.41
Perkins County,"2,128",99%,2.423,"$29,634 ",.,.,.,"2,128",99%,2.423
Phelps County,"1,129",15%,14.015,"$27,126 ",7,0%,"2,004.17","1,122",38%,5.461
Pierce County,"3,948",70%,9.821,"$25,938 ",.,.,.,"3,948",70%,9.821
Platte County,"28,657",87%,48.916,"$25,815 ","22,463",95%,"2,960.17","6,194",67%,13.831
Polk County,"1,511",35%,9.778,"$29,567 ",.,.,.,"1,511",35%,9.778
Red Willow County,"5,668",54%,14.66,"$23,912 ","3,642",48%,"1,639.30","2,026",70%,4.074
Richardson County,"5,386",85%,11.463,"$24,703 ","3,374",100%,"1,825.80","2,012",68%,5.367
Rock County,"1,175",93%,1.253,"$28,158 ",.,.,.,"1,175",93%,1.253
Saline County,"1,916",15%,22.747,"$21,230 ",471,7%,"2,843.52","1,445",25%,10.308
Sarpy County,"8,523",5%,786.915,"$30,539 ","6,047",3%,"2,602.76","2,476",26%,56.497
Saunders County,"3,753",20%,25.485,"$29,175 ",4,0%,"2,045.85","3,749",31%,16.277
Scotts Bluff County,"3,657",10%,48.151,"$24,417 ",16,0%,"2,029.03","3,641",41%,12.28
Seward County,"2,226",14%,27.911,"$27,579 ",93,1%,"2,650.77","2,133",24%,15.62
Sheridan County,"3,415",96%,1.453,"$22,665 ",.,.,.,"3,415",96%,1.453
Sherman County,"1,217",53%,4.068,"$24,505 ",.,.,.,"1,217",53%,4.068
Sioux County,705,87%,0.393,"$27,669 ",.,.,.,705,87%,0.393
Stanton County,"3,176",61%,12.249,"$28,682 ",171,10%,"2,805.37","3,005",84%,8.384
Thayer County,"1,675",40%,7.302,"$27,626 ",.,.,.,"1,675",40%,7.302
Thomas County,479,100%,0.672,"$28,421 ",.,.,.,479,100%,0.672
Thurston County,"5,218",84%,15.715,"$18,251 ",.,.,.,"5,218",84%,15.715
Valley County,"1,395",44%,5.598,"$24,165 ",.,.,.,"1,395",44%,5.598
Washington County,"19,497",97%,51.747,"$30,438 ","7,961",100%,"1,983.92","11,536",94%,31.657
Wayne County,"2,150",26%,18.773,"$25,523 ",891,17%,"2,972.50","1,259",42%,6.733
Webster County,"1,496",54%,4.789,"$22,328 ",.,.,.,"1,496",54%,4.789
Wheeler County,319,46%,1.215,"$27,996 ",.,.,.,319,46%,1.215
York County,"1,759",14%,21.446,"$28,271 ",205,3%,"2,052.31","1,554",33%,8.314
Nevada,"249,722",8%,26.776,.,"151,168",5%,"3,633.05","98,554",65%,1.39
Churchill County,"2,912",12%,4.866,"$23,823 ",.,.,"1,136.18","2,912",37%,1.605
Clark County,"83,478",4%,273.784,"$26,040 ","67,681",3%,"4,856.54","15,797",60%,3.543
Douglas County,"2,166",5%,64.885,"$34,090 ",.,.,"1,639.01","2,166",17%,18.443
Elko County,"45,229",90%,2.936,"$29,762 ","28,521",85%,"1,613.12","16,708",98%,0.99
Esmeralda County,476,100%,0.133,"$20,513 ",.,.,.,476,100%,0.133
Eureka County,"1,816",100%,0.435,"$31,057 ",.,.,.,"1,816",100%,0.435
Humboldt County,"16,029",100%,1.663,"$26,547 ","10,274",100%,"1,126.53","5,755",100%,0.598
Lander County,"5,913",100%,1.077,"$29,302 ","3,593",100%,"1,846.38","2,320",100%,0.423
Lincoln County,"2,638",48%,0.515,"$23,523 ",.,.,.,"2,638",48%,0.515
Lyon County,"12,639",22%,29.045,"$22,709 ","3,231",8%,"2,196.47","9,408",49%,9.737
Mineral County,"3,848",100%,1.025,"$23,222 ","2,904",100%,"2,420.04",944,100%,0.252
Nye County,"45,835",100%,2.522,"$23,035 ","30,426",100%,689.259,"15,409",100%,0.85
Pershing County,"6,202",100%,1.027,"$18,623 ",.,.,.,"6,202",100%,1.027
Storey County,"3,488",83%,16.005,"$37,215 ",.,.,792.315,"3,488",89%,14.896
Washoe County,"6,971",2%,70.931,"$28,621 ",228,0%,"2,445.31","6,743",37%,2.988
White Pine County,"9,683",100%,1.094,"$25,857 ","4,303",99%,"1,698.97","5,380",100%,0.606
Carson City,399,1%,372.261,"$25,893 ",7,0%,"2,531.10",392,18%,17.65
New Hampshire,"99,129",7%,149.754,.,"22,094",3%,"1,260.60","77,035",15%,63.647
Belknap County,"2,742",5%,148.766,"$31,044 ",663,3%,"1,301.22","2,079",5%,103.843
Carroll County,"2,103",4%,50.481,"$32,860 ",.,.,609.063,"2,103",5%,45.756
Cheshire County,"24,180",32%,108.225,"$29,591 ",377,1%,"1,835.10","23,803",48%,71.866
Coos County,"9,427",30%,17.366,"$24,737 ",.,.,"1,919.01","9,427",46%,11.564
Grafton County,"10,013",11%,53.382,"$31,221 ","1,345",5%,"1,430.78","8,668",14%,37.031
Hillsborough County,"23,039",6%,468.329,"$34,767 ","12,748",4%,"1,647.10","10,291",12%,126.976
Merrimack County,"11,635",8%,159.474,"$31,579 ","1,751",3%,"1,260.06","9,884",12%,92.384
Rockingham County,"2,667",1%,437.438,"$39,605 ","1,698",1%,879.478,969,1%,174.622
Strafford County,"4,234",3%,346.948,"$29,757 ","3,127",4%,"1,425.59","1,107",3%,136.005
Sullivan County,"9,089",21%,82.058,"$29,073 ",385,2%,"1,424.51","8,704",31%,53.135
New Jersey,"285,478",3%,"1,214.66",.,"188,462",2%,"2,901.05","97,016",21%,104.424
Atlantic County,"11,424",4%,497.043,"$27,411 ","7,326",3%,"2,103.00","4,098",12%,77.785
Bergen County,809,0%,"3,917.98","$43,194 ",809,0%,"4,174.93",.,.,65.818
Burlington County,"16,240",4%,554.448,"$37,511 ","13,598",3%,"1,882.81","2,642",9%,49.862
Camden County,"12,316",2%,"2,350.47","$30,667 ","12,210",2%,"3,336.40",106,1%,122.998
Cape May County,"2,601",3%,359.38,"$33,499 ","1,735",2%,"1,267.01",866,5%,86.876
Cumberland County,"10,133",6%,337.637,"$22,425 ","3,288",3%,"1,899.88","6,845",19%,85.747
Essex County,"8,034",1%,"6,234.55","$32,327 ","8,034",1%,"6,419.18",.,.,31.523
Gloucester County,"6,877",2%,943.569,"$33,609 ","6,467",2%,"1,760.22",410,2%,153.652
Hudson County,"3,004",0%,"14,478.62","$32,678 ","3,004",0%,"14,478.62",.,.,.
Hunterdon County,"18,025",14%,297.792,"$50,846 ","4,578",7%,"1,099.71","13,447",21%,169.882
Mercer County,"8,063",2%,"1,652.44","$38,076 ","8,020",2%,"2,690.86",43,0%,136.573
Middlesex County,"8,323",1%,"2,678.47","$34,616 ","8,303",1%,"3,260.86",20,0%,101.757
Monmouth County,"2,939",0%,"1,340.97","$43,548 ","2,894",0%,"1,983.55",45,0%,145.133
Morris County,504,0%,"1,082.11","$48,928 ",406,0%,"1,786.08",98,0%,166.126
Ocean County,"9,686",2%,953.571,"$30,951 ","9,127",2%,"2,306.49",559,3%,46.104
Passaic County,3,0%,"2,795.22","$27,795 ",.,.,"5,352.34",3,0%,133.579
Salem County,"2,703",4%,200.257,"$28,987 ",975,3%,"1,676.44","1,728",6%,95.984
Somerset County,"1,578",0%,"1,111.48","$48,646 ","1,351",0%,"1,795.73",227,1%,140.613
Sussex County,"109,357",74%,283.673,"$38,454 ","63,849",72%,"1,308.77","45,508",78%,129.308
Union County,"1,647",0%,"5,288.27","$35,411 ","1,647",0%,"5,288.27",.,.,.
Warren County,"51,212",48%,298.663,"$34,016 ","30,841",46%,"1,904.15","20,371",51%,123.813
New Mexico,"431,125",20%,17.809,.,"156,432",9%,"2,072.22","274,693",61%,3.711
Bernalillo County,"9,853",1%,626.339,"$26,916 ","2,616",0%,"3,569.43","7,237",24%,31.604
Catron County,"3,160",100%,0.456,"$19,254 ",.,.,.,"3,160",100%,0.456
Chaves County,"9,525",14%,11.379,"$20,356 ",893,2%,"1,976.60","8,632",55%,2.592
Cibola County,"25,192",96%,5.769,"$16,362 ","11,229",96%,"1,434.08","13,963",96%,3.207
Colfax County,"10,423",97%,2.849,"$20,975 ","4,995",96%,"1,386.63","5,428",99%,1.461
Curry County,"6,026",13%,33.035,"$21,886 ","1,552",4%,"1,809.73","4,474",80%,4.022
De Baca County,"1,623",100%,0.699,"$25,942 ",.,.,.,"1,623",100%,0.699
Doña Ana County,"42,938",19%,60.891,"$20,058 ","23,309",12%,"2,098.33","19,629",47%,11.135
Eddy County,"18,109",35%,12.476,"$27,630 ","12,469",30%,"1,479.19","5,640",56%,2.413
Grant County,"8,341",29%,7.334,"$23,411 ","2,043",12%,"1,316.38","6,298",52%,3.069
Guadalupe County,"3,829",100%,1.263,"$15,192 ","2,198",100%,"1,018.54","1,631",100%,0.539
Harding County,455,100%,0.214,"$18,565 ",.,.,.,455,100%,0.214
Hidalgo County,"4,164",99%,1.224,"$19,400 ",.,.,.,"4,164",99%,1.224
Lea County,"8,013",12%,15.728,"$22,962 ","2,995",5%,"1,935.99","5,018",37%,3.133
Lincoln County,"4,830",25%,3.956,"$24,732 ","1,150",12%,"1,073.85","3,680",37%,2.037
Los Alamos County,334,2%,162.522,"$50,723 ",221,1%,"1,578.64",113,6%,19.834
Luna County,"8,542",36%,8.038,"$15,549 ","1,730",12%,"1,751.69","6,812",73%,3.146
McKinley County,"47,691",69%,12.67,"$12,800 ","10,263",34%,"1,743.33","37,428",96%,7.143
Mora County,"4,401",100%,2.279,"$18,950 ",.,.,.,"4,401",100%,2.279
Otero County,"19,247",30%,9.741,"$19,803 ","7,134",16%,"1,793.92","12,113",66%,2.794
Quay County,"6,606",100%,2.298,"$16,719 ","3,820",100%,"1,277.93","2,786",100%,0.97
Rio Arriba County,"26,204",69%,6.504,"$19,483 ","11,282",57%,832.22,"14,922",81%,3.159
Roosevelt County,"5,519",30%,7.408,"$17,668 ",81,1%,"2,107.59","5,438",82%,2.703
Sandoval County,"12,945",9%,40.968,"$26,916 ","3,019",2%,"2,279.73","9,926",43%,6.387
San Juan County,"38,113",29%,23.87,"$21,992 ","13,528",15%,"1,438.14","24,585",60%,7.528
San Miguel County,"22,862",82%,5.913,"$18,355 ","11,242",77%,"1,501.05","11,620",87%,2.839
Santa Fe County,"20,851",14%,79.981,"$32,454 ","9,545",8%,"1,499.06","11,306",30%,20.428
Sierra County,"4,640",45%,2.458,"$18,589 ","1,805",26%,924.717,"2,835",85%,0.797
Socorro County,"16,748",100%,2.53,"$17,969 ","8,738",100%,"1,419.00","8,010",99%,1.214
Taos County,"15,677",49%,14.578,"$22,107 ","2,262",17%,848.181,"13,415",72%,8.467
Torrance County,"8,292",58%,4.258,"$18,278 ",.,.,819.848,"8,292",59%,4.2
Union County,"3,695",100%,0.966,"$20,511 ",.,.,.,"3,695",100%,0.966
Valencia County,"12,277",15%,77.606,"$19,646 ","6,313",9%,996.119,"5,964",43%,13.793
New York,"430,202",2%,415.253,.,"40,455",0%,"4,235.44","389,747",17%,52.016
Albany County,"11,041",4%,572.413,"$32,624 ","3,912",1%,"2,223.80","7,129",26%,68.538
Allegany County,"10,943",24%,43.901,"$20,881 ",.,.,"1,765.45","10,943",31%,34.517
Bronx County,"12,320",1%,"35,212.38","$18,269 ","12,290",1%,"37,396.64",30,94%,13.01
Broome County,"9,240",5%,276.371,"$24,820 ",122,0%,"2,182.12","9,118",18%,77.842
Cattaraugus County,"19,424",26%,56.916,"$22,486 ",77,0%,"1,553.68","19,347",42%,35.416
Cayuga County,"21,145",28%,110.694,"$25,070 ",.,.,"2,314.38","21,145",50%,62.318
Chautauqua County,"9,272",7%,120.77,"$22,483 ",.,.,"1,944.21","9,272",17%,53.368
Chemung County,"4,331",5%,208.392,"$25,967 ",.,.,"1,775.64","4,331",22%,54.067
Chenango County,"10,467",22%,53.093,"$22,339 ",.,.,"2,317.50","10,467",27%,44.082
Clinton County,"5,380",7%,77.73,"$25,279 ",.,.,"1,120.07","5,380",10%,51.04
Columbia County,"22,607",38%,93.254,"$32,665 ","7,348",46%,"1,434.69","15,259",35%,69.264
Cortland County,"5,231",11%,95.15,"$23,581 ",.,.,"2,542.82","5,231",26%,41.646
Delaware County,"20,929",47%,30.942,"$23,911 ",.,.,"1,928.99","20,929",61%,23.93
Dutchess County,280,0%,367.988,"$33,962 ",127,0%,"1,261.33",153,0%,115.967
Erie County,"7,057",1%,857.401,"$28,512 ",.,.,"2,470.26","7,057",9%,115.643
